legajo,nombre,apellido,email,genero,nota_1p,nota_2p,nota_final,nivel,instructor
1,Tamarah,Manach,tmanach0@about.com,1,1.88,1.89,3.65,2,1
2,Lise,Tomblett,ltomblett1@lycos.com,1,1.60,4.88,4.70,2,2
3,Tymothy,Burch,tburch2@cornell.edu,2,7.62,2.88,3.67,2,3
4,Alwin,McKeurton,amckeurton3@godaddy.com,2,8.75,06.08,,5,4
5,Reidar,Shreeve,rshreeve4@npr.org,2,1.39,4.28,2.88,4,5
6,Harwilll,MacDonell,hmacdonell5@forbes.com,2,2.83,7.78,9.31,3,6
7,Fielding,Bernardelli,fbernardelli6@google.ca,2,5.56,1.39,02.01,5,5
8,Talyah,Eddie,teddie7@zdnet.com,3,3.71,6.29,,3,7
9,Lanny,Sigmund,lsigmund8@aol.com,2,7.46,06.05,1.28,1,5
10,Morry,Josovich,mjosovich9@purevolume.com,2,3.36,1.91,5.75,1,5
11,Jan,Bilovus,jbilovusa@walmart.com,3,4.97,4.94,,5,8
12,Steffen,Assante,sassanteb@ow.ly,2,9.71,6.98,1.97,5,9
13,Clemmy,Coggles,ccogglesc@bbb.org,1,6.20,04.02,7.27,2,10
14,Maxy,Tixall,mtixalld@eepurl.com,2,4.22,9.51,7.36,3,9
15,Dewey,O'Hickee,dohickeee@sina.com.cn,2,6.97,3.69,9.86,2,11
16,Trumaine,Hacquoil,thacquoilf@youtube.com,2,3.13,4.94,4.93,1,2
17,Rafaelita,Stockbridge,rstockbridgeg@g.co,1,2.27,4.22,2.10,3,12
18,Manolo,Broadway,mbroadwayh@nsw.gov.au,2,1.29,8.10,1.27,1,13
19,Maurice,Ragdale,mragdalei@illinois.edu,2,7.93,8.50,5.77,1,1
20,Eolande,Dudderidge,edudderidgej@bravesites.com,1,9.53,06.06,1.50,3,1
21,Kaylyn,Ascrofte,kascroftek@hostgator.com,1,2.79,2.42,7.00,1,3
22,Merola,Alejandri,malejandril@google.com.hk,1,8.20,7.57,4.11,1,3
23,Birgitta,Mumberson,bmumbersonm@sun.com,1,5.92,2.95,1.00,3,14
24,Irena,Gladhill,igladhilln@homestead.com,1,7.42,8.69,1.84,2,15
25,Rhodie,Maneylaws,rmaneylawso@mlb.com,1,1.37,3.60,2.59,5,12
26,Ossie,Hulburt,ohulburtp@cmu.edu,2,7.89,8.20,5.49,3,13
27,Basilio,Happs,bhappsq@yandex.ru,2,7.19,03.02,1.56,1,3
28,Franky,Copestake,fcopestaker@dedecms.com,2,1.43,08.08,08.05,3,2
29,Margot,Bignold,mbignolds@people.com.cn,1,3.18,8.50,4.92,1,8
30,Dyana,Seaward,dseawardt@nbcnews.com,1,7.34,6.86,7.31,3,12
31,Tripp,Durno,tdurnou@a8.net,2,3.67,9.69,8.39,2,2
32,Chucho,Goakes,cgoakesv@mediafire.com,3,2.85,8.47,5.26,3,11
33,Mathilde,Look,mlookw@printfriendly.com,1,7.44,4.17,8.32,3,16
34,Rozelle,Briers,rbriersx@unc.edu,1,7.89,5.64,8.81,5,8
35,Joell,Pirrey,jpirreyy@usnews.com,1,8.23,9.51,,2,17
36,Wanids,Swinn,wswinnz@google.de,3,2.83,4.99,8.33,1,8
37,Kele,Ritmeyer,kritmeyer10@upenn.edu,2,2.88,9.75,4.56,1,6
38,Lorilyn,Ladloe,lladloe11@shinystat.com,1,3.91,9.40,4.80,5,17
39,Robb,Yurmanovev,ryurmanovev12@tiny.cc,2,5.58,7.60,1.60,1,3
40,Ilse,Pyle,ipyle13@disqus.com,1,1.84,09.07,9.36,5,18
41,Clarice,Stallan,cstallan14@cornell.edu,1,7.69,9.41,,1,5
42,Akim,Southerden,asoutherden15@homestead.com,3,2.66,4.89,7.10,4,5
43,Kelli,Dewey,kdewey16@geocities.com,1,8.94,2.79,09.06,1,16
44,Tully,Philpault,tphilpault17@pagesperso-orange.fr,2,03.04,9.50,,2,19
45,Culley,Mebius,cmebius18@mozilla.org,2,4.68,6.19,3.42,1,15
46,Andra,Fawthrop,afawthrop19@51.la,1,6.38,2.59,6.92,4,10
47,Berty,Stoate,bstoate1a@cnbc.com,2,7.59,2.55,7.81,2,2
48,Hynda,Tuckwell,htuckwell1b@furl.net,1,9.46,2.93,,2,16
49,Torey,Sigfrid,tsigfrid1c@naver.com,4,05.01,2.80,6.55,1,12
50,Cull,Whyard,cwhyard1d@storify.com,2,9.17,3.77,4.12,1,6
51,Rachael,Evenden,revenden1e@prweb.com,1,6.70,5.87,9.47,4,17
52,Phoebe,Avrahamoff,pavrahamoff1f@about.com,3,03.06,3.92,3.67,5,2
53,Adriane,Rishman,arishman1g@aboutads.info,1,6.21,5.85,3.45,3,3
54,Aron,Clara,aclara1h@uol.com.br,2,7.79,2.13,8.20,3,11
55,Isidora,Marzello,imarzello1i@washingtonpost.com,1,9.71,2.25,2.24,4,12
56,Fairleigh,Kepe,fkepe1j@nhs.uk,2,2.17,2.42,5.55,1,18
57,Marleen,Piotrkowski,mpiotrkowski1k@gmpg.org,1,2.18,2.38,8.82,3,2
58,Elinore,Dunklee,edunklee1l@rakuten.co.jp,1,3.75,5.59,1.33,1,15
59,Darby,Freen,dfreen1m@gnu.org,2,6.54,3.36,1.80,5,7
60,Vikki,Khosa,vkhosa1n@youtube.com,1,4.65,7.39,,2,11
61,Lina,Cominotti,lcominotti1o@fastcompany.com,1,4.70,8.48,07.02,4,16
62,Devin,Houtbie,dhoutbie1p@eepurl.com,1,6.56,8.40,5.73,2,8
63,Ron,Rudeforth,rrudeforth1q@moonfruit.com,2,2.87,5.17,07.06,4,9
64,Donielle,Meharry,dmeharry1r@ucoz.com,1,2.00,6.31,3.49,4,4
65,Cindy,Sellar,csellar1s@theguardian.com,5,6.58,8.32,,3,4
66,Caril,Strettle,cstrettle1t@51.la,1,1.66,7.74,1.17,5,19
67,Brnaby,Tawton,btawton1u@de.vu,2,4.64,9.68,6.89,4,9
68,Jarid,Sclanders,jsclanders1v@smugmug.com,2,02.01,9.91,9.22,2,10
69,Traci,McLeary,tmcleary1w@meetup.com,1,01.04,5.10,3.36,1,8
70,Josephina,Daud,jdaud1x@hostgator.com,1,7.73,4.54,4.91,4,13
71,Ruby,Lunnon,rlunnon1y@sakura.ne.jp,2,1.29,9.42,1.20,4,17
72,Calv,Coneybeer,cconeybeer1z@huffingtonpost.com,2,4.50,9.48,1.59,3,20
73,Flynn,Hedditch,fhedditch20@amazon.de,2,6.11,8.11,6.43,5,13
74,Morganne,Meddings,mmeddings21@google.ru,1,2.71,8.15,3.66,3,3
75,Karlis,Brando,kbrando22@purevolume.com,2,2.15,8.46,01.01,4,1
76,Lorry,Farden,lfarden23@globo.com,2,05.01,05.04,,2,1
77,Eldredge,Campione,ecampione24@trellian.com,2,8.94,7.81,1.35,4,15
78,Buddie,Devil,bdevil25@creativecommons.org,2,9.43,2.13,6.19,5,4
79,Lazare,Abrahmovici,labrahmovici26@forbes.com,6,7.63,4.57,8.67,4,2
80,Zea,Bulle,zbulle27@yale.edu,1,07.04,6.22,3.59,5,11
81,Padraic,Galer,pgaler28@gravatar.com,7,6.53,7.80,,5,3
82,Kippar,Lusted,klusted29@photobucket.com,2,1.86,9.80,,5,6
83,Hort,Ferraron,hferraron2a@google.com.br,2,4.55,7.97,6.86,3,12
